Panstwo,Nasz Dziennik,Gazeta.pl,Super Express
Rosja, 8897.0 (13.417971 %), 8034.0 (10.502562 %), 1924.0 (5.5828094 %)
USA, 3700.0 (10.063478 %), 4842.0 (10.811907 %), 1441.0 (6.4326673 %)
Niemcy, 1606.0 (5.226004 %), 1637.0 (5.0763226 %), 385.0 (2.01755 %)
Wielka Brytania, 947.0 (3.4529932 %), 1113.0 (3.3419545 %), 450.0 (2.3146548 %)
Francja, 1175.0 (4.219109 %), 1797.0 (4.584411 %), 422.0 (1.7964486 %)
Chiny, 656.0 (2.052096 %), 735.0 (1.9220041 %), 245.0 (1.1400539 %)
Syria, 958.0 (2.0247345 %), 2206.0 (4.1533546 %), 376.0 (1.3266082 %)
Ukraina, 6308.0 (8.646164 %), 4871.0 (6.4759874 %), 1703.0 (4.615491 %)
Panstwo Islamskie, 245.0 (0.83725506 %), 1377.0 (3.468736 %), 230.0 (0.99495614 %)
Grecja, 575.0 (1.5048703 %), 2273.0 (2.7841167 %), 85.0 (0.46293098 %)
