source,event,word,count,position
Gazeta_Wyborcza,afera_podsl_end,egzamin,46,1
Gazeta_Wyborcza,afera_podsl_end,poziom,27,2
Gazeta_Wyborcza,afera_podsl_end,doktor,27,3
Gazeta_Wyborcza,afera_podsl_end,zarzut,25,4
Gazeta_Wyborcza,afera_podsl_end,gimnazjalny,24,5
Gazeta_Wyborcza,afera_podsl_end,prokuratura,23,6
Gazeta_Wyborcza,afera_podsl_end,mezczyzna,20,7
Gazeta_Wyborcza,afera_podsl_end,uczen,20,8
Gazeta_Wyborcza,afera_podsl_end,pacjentka,19,9
Gazeta_Wyborcza,afera_podsl_end,zadac,16,10
Gazeta_Wyborcza,afera_podsl_start,kolo,23,1
Gazeta_Wyborcza,afera_podsl_start,mezczyzna,22,2
Gazeta_Wyborcza,afera_podsl_start,kaminski,22,3
Gazeta_Wyborcza,afera_podsl_start,prokuratura,21,4
Gazeta_Wyborcza,afera_podsl_start,zona,18,5
Gazeta_Wyborcza,afera_podsl_start,policja,16,6
Gazeta_Wyborcza,afera_podsl_start,partia,13,7
Gazeta_Wyborcza,afera_podsl_start,posel,13,8
Gazeta_Wyborcza,afera_podsl_start,godzina,13,9
Gazeta_Wyborcza,afera_podsl_start,kobieta,12,10
Gazeta_Wyborcza,janukowycz_end,zolnierz,22,1
Gazeta_Wyborcza,janukowycz_end,reklama,19,2
Gazeta_Wyborcza,janukowycz_end,profesor,19,3
Gazeta_Wyborcza,janukowycz_end,planeta,18,4
Gazeta_Wyborcza,janukowycz_end,wyklac,15,5
Gazeta_Wyborcza,janukowycz_end,szpital,12,6
Gazeta_Wyborcza,janukowycz_end,mojak,12,7
Gazeta_Wyborcza,janukowycz_end,planet,11,8
Gazeta_Wyborcza,janukowycz_end,wyklad,11,9
Gazeta_Wyborcza,janukowycz_end,wypadek,11,10
Gazeta_Wyborcza,janukowycz_start,podrecznik,29,1
Gazeta_Wyborcza,janukowycz_start,policja,16,2
Gazeta_Wyborcza,janukowycz_start,krokodyl,14,3
Gazeta_Wyborcza,janukowycz_start,szkola,14,4
Gazeta_Wyborcza,janukowycz_start,nauczyciel,12,5
Gazeta_Wyborcza,janukowycz_start,prokuratura,12,6
Gazeta_Wyborcza,janukowycz_start,wyrok,12,7
Gazeta_Wyborcza,janukowycz_start,posel,11,8
Gazeta_Wyborcza,janukowycz_start,urzad,10,9
Gazeta_Wyborcza,janukowycz_start,izabella,10,10
Gazeta_Wyborcza,jp2_swiety_end,egzamin,108,1
Gazeta_Wyborcza,jp2_swiety_end,gimnazjalny,68,2
Gazeta_Wyborcza,jp2_swiety_end,poziom,66,3
Gazeta_Wyborcza,jp2_swiety_end,arkusz,38,4
Gazeta_Wyborcza,jp2_swiety_end,podstawowy,35,5
Gazeta_Wyborcza,jp2_swiety_end,zadac,34,6
Gazeta_Wyborcza,jp2_swiety_end,uczen,29,7
Gazeta_Wyborcza,jp2_swiety_end,gimnazjalista,28,8
Gazeta_Wyborcza,jp2_swiety_end,piskorski,26,9
Gazeta_Wyborcza,jp2_swiety_end,angielski,25,10
Gazeta_Wyborcza,jp2_swiety_start,egzamin,163,1
Gazeta_Wyborcza,jp2_swiety_start,gimnazjalny,123,2
Gazeta_Wyborcza,jp2_swiety_start,arkusz,62,3
Gazeta_Wyborcza,jp2_swiety_start,zadac,45,4
Gazeta_Wyborcza,jp2_swiety_start,tekst,43,5
Gazeta_Wyborcza,jp2_swiety_start,wiedza,40,6
Gazeta_Wyborcza,jp2_swiety_start,historia,37,7
Gazeta_Wyborcza,jp2_swiety_start,uczen,36,8
Gazeta_Wyborcza,jp2_swiety_start,poziom,33,9
Gazeta_Wyborcza,jp2_swiety_start,kwiecien,30,10
Gazeta_Wyborcza,kopacz_start_end,policjant,25,1
Gazeta_Wyborcza,kopacz_start_end,chlopiec,22,2
Gazeta_Wyborcza,kopacz_start_end,szpital,21,3
Gazeta_Wyborcza,kopacz_start_end,grzegorz,15,4
Gazeta_Wyborcza,kopacz_start_end,prokuratura,14,5
Gazeta_Wyborcza,kopacz_start_end,lekarz,14,6
Gazeta_Wyborcza,kopacz_start_end,bloger,13,7
Gazeta_Wyborcza,kopacz_start_end,poniedzialek,12,8
Gazeta_Wyborcza,kopacz_start_end,owsiak,11,9
Gazeta_Wyborcza,kopacz_start_end,zarzad,10,10
Gazeta_Wyborcza,kopacz_start_start,prokuratura,47,1
Gazeta_Wyborcza,kopacz_start_start,mezczyzna,42,2
Gazeta_Wyborcza,kopacz_start_start,policja,42,3
Gazeta_Wyborcza,kopacz_start_start,biuro,30,4
Gazeta_Wyborcza,kopacz_start_start,papieros,29,5
Gazeta_Wyborcza,kopacz_start_start,wyrok,25,6
Gazeta_Wyborcza,kopacz_start_start,schetyna,18,7
Gazeta_Wyborcza,kopacz_start_start,wyborczy,18,8
Gazeta_Wyborcza,kopacz_start_start,policjant,17,9
Gazeta_Wyborcza,kopacz_start_start,postepowac,16,10
Gazeta_Wyborcza,krym_ref_end,policja,24,1
Gazeta_Wyborcza,krym_ref_end,prokuratura,12,2
Gazeta_Wyborcza,krym_ref_end,rektor,11,3
Gazeta_Wyborcza,krym_ref_end,zatoka,11,4
Gazeta_Wyborcza,krym_ref_end,kierowca,11,5
Gazeta_Wyborcza,krym_ref_end,wypadek,10,6
Gazeta_Wyborcza,krym_ref_end,autobus,10,7
Gazeta_Wyborcza,krym_ref_end,prawo,9,8
Gazeta_Wyborcza,krym_ref_end,pozar,8,9
Gazeta_Wyborcza,krym_ref_end,obserwacja,8,10
Gazeta_Wyborcza,krym_ref_start,prokuratura,18,1
Gazeta_Wyborcza,krym_ref_start,pilkarz,15,2
Gazeta_Wyborcza,krym_ref_start,policja,14,3
Gazeta_Wyborcza,krym_ref_start,piotr,13,4
Gazeta_Wyborcza,krym_ref_start,rzezniczak,12,5
Gazeta_Wyborcza,krym_ref_start,mezczyzna,11,6
Gazeta_Wyborcza,krym_ref_start,mosir,11,7
Gazeta_Wyborcza,krym_ref_start,uderzyc,10,8
Gazeta_Wyborcza,krym_ref_start,zarzut,9,9
Gazeta_Wyborcza,krym_ref_start,legia,8,10
Gazeta_Wyborcza,obama_pol_end,ukraina,16,1
Gazeta_Wyborcza,obama_pol_end,prokuratura,15,2
Gazeta_Wyborcza,obama_pol_end,pilkarz,15,3
Gazeta_Wyborcza,obama_pol_end,piotr,13,4
Gazeta_Wyborcza,obama_pol_end,rzezniczak,12,5
Gazeta_Wyborcza,obama_pol_end,wojewodztwo,12,6
Gazeta_Wyborcza,obama_pol_end,film,12,7
Gazeta_Wyborcza,obama_pol_end,warszawa,11,8
Gazeta_Wyborcza,obama_pol_end,policja,11,9
Gazeta_Wyborcza,obama_pol_end,mosir,11,10
Gazeta_Wyborcza,obama_pol_start,zolnierz,22,1
Gazeta_Wyborcza,obama_pol_start,reklama,20,2
Gazeta_Wyborcza,obama_pol_start,profesor,20,3
Gazeta_Wyborcza,obama_pol_start,planeta,18,4
Gazeta_Wyborcza,obama_pol_start,lidl,16,5
Gazeta_Wyborcza,obama_pol_start,wyklac,15,6
Gazeta_Wyborcza,obama_pol_start,protasiewicz,15,7
Gazeta_Wyborcza,obama_pol_start,mezczyzna,14,8
Gazeta_Wyborcza,obama_pol_start,papiez,13,9
Gazeta_Wyborcza,obama_pol_start,mojak,12,10
Gazeta_Wyborcza,papiez_fran_end,policja,26,1
Gazeta_Wyborcza,papiez_fran_end,pozar,25,2
Gazeta_Wyborcza,papiez_fran_end,budynek,21,3
Gazeta_Wyborcza,papiez_fran_end,koalicja,20,4
Gazeta_Wyborcza,papiez_fran_end,kamienica,20,5
Gazeta_Wyborcza,papiez_fran_end,marszalek,18,6
Gazeta_Wyborcza,papiez_fran_end,pis,18,7
Gazeta_Wyborcza,papiez_fran_end,kopalnia,17,8
Gazeta_Wyborcza,papiez_fran_end,tama,17,9
Gazeta_Wyborcza,papiez_fran_end,mazowsze,16,10
Gazeta_Wyborcza,papiez_fran_start,filharmonia,34,1
Gazeta_Wyborcza,papiez_fran_start,gora,29,2
Gazeta_Wyborcza,papiez_fran_start,prokuratura,24,3
Gazeta_Wyborcza,papiez_fran_start,jeleni,24,4
Gazeta_Wyborcza,papiez_fran_start,mezczyzna,22,5
Gazeta_Wyborcza,papiez_fran_start,policja,21,6
Gazeta_Wyborcza,papiez_fran_start,dolnoslaski,19,7
Gazeta_Wyborcza,papiez_fran_start,zabojstwo,19,8
Gazeta_Wyborcza,papiez_fran_start,michal,17,9
Gazeta_Wyborcza,papiez_fran_start,pociag,16,10
Gazeta_Wyborcza,samolot_ukr_end,mezczyzna,13,1
Gazeta_Wyborcza,samolot_ukr_end,policja,13,2
Gazeta_Wyborcza,samolot_ukr_end,wypadek,13,3
Gazeta_Wyborcza,samolot_ukr_end,prokuratura,11,4
Gazeta_Wyborcza,samolot_ukr_end,niemiecki,11,5
Gazeta_Wyborcza,samolot_ukr_end,kazimierz,11,6
Gazeta_Wyborcza,samolot_ukr_end,autokar,9,7
Gazeta_Wyborcza,samolot_ukr_end,szpital,8,8
Gazeta_Wyborcza,samolot_ukr_end,zarzut,8,9
Gazeta_Wyborcza,samolot_ukr_end,alkohol,8,10
Gazeta_Wyborcza,samolot_ukr_start,prokuratura,39,1
Gazeta_Wyborcza,samolot_ukr_start,prokurator,37,2
Gazeta_Wyborcza,samolot_ukr_start,policjant,36,3
Gazeta_Wyborcza,samolot_ukr_start,policja,29,4
Gazeta_Wyborcza,samolot_ukr_start,szpital,26,5
Gazeta_Wyborcza,samolot_ukr_start,mezczyzna,26,6
Gazeta_Wyborcza,samolot_ukr_start,wyborczy,24,7
Gazeta_Wyborcza,samolot_ukr_start,porod,22,8
Gazeta_Wyborcza,samolot_ukr_start,pies,21,9
Gazeta_Wyborcza,samolot_ukr_start,komisja,20,10
Gazeta_Wyborcza,tusk_ue_end,gender,44,1
Gazeta_Wyborcza,tusk_ue_end,policja,32,2
Gazeta_Wyborcza,tusk_ue_end,mezczyzna,23,3
Gazeta_Wyborcza,tusk_ue_end,prokuratura,23,4
Gazeta_Wyborcza,tusk_ue_end,samochod,19,5
Gazeta_Wyborcza,tusk_ue_end,tomasz,17,6
Gazeta_Wyborcza,tusk_ue_end,pies,17,7
Gazeta_Wyborcza,tusk_ue_end,ksiadz,17,8
Gazeta_Wyborcza,tusk_ue_end,wciaz,16,9
Gazeta_Wyborcza,tusk_ue_end,tama,16,10
Gazeta_Wyborcza,tusk_ue_start,sprawdzian,37,1
Gazeta_Wyborcza,tusk_ue_start,szostoklasista,20,2
Gazeta_Wyborcza,tusk_ue_start,prokuratura,20,3
Gazeta_Wyborcza,tusk_ue_start,wypadek,20,4
Gazeta_Wyborcza,tusk_ue_start,zadac,18,5
Gazeta_Wyborcza,tusk_ue_start,policja,18,6
Gazeta_Wyborcza,tusk_ue_start,policjant,18,7
Gazeta_Wyborcza,tusk_ue_start,krolikowski,17,8
Gazeta_Wyborcza,tusk_ue_start,uczen,16,9
Gazeta_Wyborcza,tusk_ue_start,kontrola,15,10
Gazeta_Wyborcza,wybory_parl_end,pis,425,1
Gazeta_Wyborcza,wybory_parl_end,partia,220,2
Gazeta_Wyborcza,wybory_parl_end,prawo,179,3
Gazeta_Wyborcza,wybory_parl_end,czlonek,156,4
Gazeta_Wyborcza,wybory_parl_end,okreg,153,5
Gazeta_Wyborcza,wybory_parl_end,sejm,152,6
Gazeta_Wyborcza,wybory_parl_end,mandat,125,7
Gazeta_Wyborcza,wybory_parl_end,kaczynski,124,8
Gazeta_Wyborcza,wybory_parl_end,senator,117,9
Gazeta_Wyborcza,wybory_parl_end,rzad,116,10
Gazeta_Wyborcza,wybory_parl_start,pis,233,1
Gazeta_Wyborcza,wybory_parl_start,debata,198,2
Gazeta_Wyborcza,wybory_parl_start,kopacz,197,3
Gazeta_Wyborcza,wybory_parl_start,szydlo,178,4
Gazeta_Wyborcza,wybory_parl_start,partia,146,5
Gazeta_Wyborcza,wybory_parl_start,uchodzca,139,6
Gazeta_Wyborcza,wybory_parl_start,rzad,112,7
Gazeta_Wyborcza,wybory_parl_start,wyborczy,112,8
Gazeta_Wyborcza,wybory_parl_start,polityk,107,9
Gazeta_Wyborcza,wybory_parl_start,kaczynski,103,10
Gazeta_Wyborcza,wybory_pe_end,rodzina,40,1
Gazeta_Wyborcza,wybory_pe_end,policja,25,2
Gazeta_Wyborcza,wybory_pe_end,szpital,23,3
Gazeta_Wyborcza,wybory_pe_end,miasto,22,4
Gazeta_Wyborcza,wybory_pe_end,krakow,20,5
Gazeta_Wyborcza,wybory_pe_end,prokuratura,19,6
Gazeta_Wyborcza,wybory_pe_end,potrafic,18,7
Gazeta_Wyborcza,wybory_pe_end,referendum,18,8
Gazeta_Wyborcza,wybory_pe_end,grupa,16,9
Gazeta_Wyborcza,wybory_pe_end,kobieta,16,10
Gazeta_Wyborcza,wybory_pe_start,poziom,83,1
Gazeta_Wyborcza,wybory_pe_start,matura,81,2
Gazeta_Wyborcza,wybory_pe_start,arkusz,55,3
Gazeta_Wyborcza,wybory_pe_start,podstawowy,50,4
Gazeta_Wyborcza,wybory_pe_start,policja,48,5
Gazeta_Wyborcza,wybory_pe_start,historia,44,6
Gazeta_Wyborcza,wybory_pe_start,centymetr,40,7
Gazeta_Wyborcza,wybory_pe_start,pis,39,8
Gazeta_Wyborcza,wybory_pe_start,egzamin,36,9
Gazeta_Wyborcza,wybory_pe_start,zadac,34,10
Gazeta_Wyborcza,wybory_prez1_end,pis,195,1
Gazeta_Wyborcza,wybory_prez1_end,syria,110,2
Gazeta_Wyborcza,wybory_prez1_end,rosyjski,110,3
Gazeta_Wyborcza,wybory_prez1_end,rzad,103,4
Gazeta_Wyborcza,wybory_prez1_end,partia,96,5
Gazeta_Wyborcza,wybory_prez1_end,rosja,93,6
Gazeta_Wyborcza,wybory_prez1_end,polityk,92,7
Gazeta_Wyborcza,wybory_prez1_end,szydlo,90,8
Gazeta_Wyborcza,wybory_prez1_end,wyborczy,84,9
Gazeta_Wyborcza,wybory_prez1_end,pazdziernik,82,10
Gazeta_Wyborcza,wybory_prez1_start,syria,132,1
Gazeta_Wyborcza,wybory_prez1_start,uchodzca,131,2
Gazeta_Wyborcza,wybory_prez1_start,ksiadz,120,3
Gazeta_Wyborcza,wybory_prez1_start,rosja,115,4
Gazeta_Wyborcza,wybory_prez1_start,rzad,108,5
Gazeta_Wyborcza,wybory_prez1_start,rosyjski,99,6
Gazeta_Wyborcza,wybory_prez1_start,usa,92,7
Gazeta_Wyborcza,wybory_prez1_start,kosciol,91,8
Gazeta_Wyborcza,wybory_prez1_start,duda,90,9
Gazeta_Wyborcza,wybory_prez1_start,putin,86,10
Gazeta_Wyborcza,wybory_prez2_end,duda,794,1
Gazeta_Wyborcza,wybory_prez2_end,andrzej,455,2
Gazeta_Wyborcza,wybory_prez2_end,komorowski,378,3
Gazeta_Wyborcza,wybory_prez2_end,wyborczy,274,4
Gazeta_Wyborcza,wybory_prez2_end,kampania,270,5
Gazeta_Wyborcza,wybory_prez2_end,pis,251,6
Gazeta_Wyborcza,wybory_prez2_end,partia,218,7
Gazeta_Wyborcza,wybory_prez2_end,prezydencki,216,8
Gazeta_Wyborcza,wybory_prez2_end,platforma,168,9
Gazeta_Wyborcza,wybory_prez2_end,polityk,167,10
Gazeta_Wyborcza,wybory_prez2_start,duda,768,1
Gazeta_Wyborcza,wybory_prez2_start,komorowski,541,2
Gazeta_Wyborcza,wybory_prez2_start,debata,536,3
Gazeta_Wyborcza,wybory_prez2_start,wyborczy,367,4
Gazeta_Wyborcza,wybory_prez2_start,kandydat,316,5
Gazeta_Wyborcza,wybory_prez2_start,andrzej,308,6
Gazeta_Wyborcza,wybory_prez2_start,pis,228,7
Gazeta_Wyborcza,wybory_prez2_start,kampania,213,8
Gazeta_Wyborcza,wybory_prez2_start,prezydencki,191,9
Gazeta_Wyborcza,wybory_prez2_start,sondaz,161,10
Gazeta_Wyborcza,wybory_samorz_end,wyborczy,34,1
Gazeta_Wyborcza,wybory_samorz_end,glos,29,2
Gazeta_Wyborcza,wybory_samorz_end,policja,26,3
Gazeta_Wyborcza,wybory_samorz_end,sejmik,26,4
Gazeta_Wyborcza,wybory_samorz_end,komisja,23,5
Gazeta_Wyborcza,wybory_samorz_end,pis,22,6
Gazeta_Wyborcza,wybory_samorz_end,prokuratura,21,7
Gazeta_Wyborcza,wybory_samorz_end,okreg,21,8
Gazeta_Wyborcza,wybory_samorz_end,krakow,20,9
Gazeta_Wyborcza,wybory_samorz_end,lasota,20,10
Gazeta_Wyborcza,wybory_samorz_start,ksiadz,62,1
Gazeta_Wyborcza,wybory_samorz_start,warszawa,39,2
Gazeta_Wyborcza,wybory_samorz_start,msza,39,3
Gazeta_Wyborcza,wybory_samorz_start,prokuratura,32,4
Gazeta_Wyborcza,wybory_samorz_start,kandydat,31,5
Gazeta_Wyborcza,wybory_samorz_start,policja,29,6
Gazeta_Wyborcza,wybory_samorz_start,waltz,29,7
Gazeta_Wyborcza,wybory_samorz_start,kamienica,27,8
Gazeta_Wyborcza,wybory_samorz_start,niemiecki,27,9
Gazeta_Wyborcza,wybory_samorz_start,kosciol,26,10
Gazeta_Wyborcza,zamach_bruks_end,zamach,183,1
