liczba slów,l. artykulów Nasz Dziennik,Procent artykulów Nasz Dziennik,l. artykulów Gazeta.pl,Procent artykulów Gazeta.pl,l. artykulów Super Express,Procent artykulów Super Express
0 - 50,1125,7.90%,2571,14.51%,373,2.61%
50 - 100,484,3.40%,658,3.71%,2325,16.29%
100 - 150,1085,7.62%,1480,8.35%,3693,25.88%
150 - 200,1691,11.87%,1991,11.24%,3402,23.84%
200 - 250,1970,13.83%,2286,12.90%,2193,15.37%
250 - 300,1929,13.55%,2044,11.53%,1241,8.70%
300 - 350,1621,11.38%,1862,10.51%,555,3.89%
350 - 400,1432,10.06%,1592,8.98%,244,1.71%
400 - 450,1155,8.11%,1314,7.42%,122,0.85%
450 - 500,937,6.58%,1087,6.13%,72,0.50%
500 - 550,812,5.70%,835,4.71%,50,0.35%
